Customer_ID,Document Number,Document Date,Net due date,Amount in doc. curr.,Document type,Local Currency,Posting Date,Payment date,Invoice reference,Document currency,Eff.exchange rate,Clearing Document,Name 1
1001141939,1122001110,24/08/2022,24/08/2022,"35,556,562.19",RV,NGN,24/08/2022,31/08/2022,1122001110,NGN,1,6022011197,Nigerian Foundries Limited
1001141939,1122001247,09/09/2022,09/09/2022,"-888,914.05",RV,NGN,09/09/2022,21/09/2022,1122001247,NGN,1,6022012262,Nigerian Foundries Limited
1001142255,1122000217,07/03/2022,07/03/2022,"4,970,998.55",RV,NGN,07/03/2022,01/04/2022,1122000217,NGN,1,6022003871,CROWN FLOUR MILLS LIMITED - KADUNA
106084175,1122000321,31/03/2022,31/03/2022,"169,578.56",RV,NGN,31/03/2022,31/05/2022,1122000321,NGN,1,6022005677,SODUNKE OLAGOKE NIGERIA ENTERPRISE
106084413,1122000225,08/03/2022,08/03/2022,"1,241,303.58",RV,NGN,08/03/2022,29/04/2022,1122000225,NGN,1,6022004248,Debrox Contracting Nigeria Limited
100754621,1122000382,14/04/2022,14/04/2022,"173,714.63",RV,NGN,14/04/2022,30/04/2022,1122000382,NGN,1,6022004204,EMZOR PHARMACEUTICAL INDUSTRIES
100754607,1122001007,03/08/2022,03/08/2022,"8,892,061.47",RV,NGN,03/08/2022,31/08/2022,1122001007,NGN,1,6022011193,JUBAILI AGROTEC LIMITED
100754607,1122001008,03/08/2022,03/08/2022,"2,236,296.70",RV,NGN,03/08/2022,22/09/2022,1122001008,NGN,1,6022012342,JUBAILI AGROTEC LIMITED
100754607,1122001191,08/09/2022,08/09/2022,"8,892,061.47",RV,NGN,08/09/2022,22/09/2022,1122001191,NGN,1,6022012342,JUBAILI AGROTEC LIMITED
106089337,1122001587,15/11/2022,15/11/2022,"765,400.00",RV,NGN,15/11/2022,15/11/2022,1122001587,NGN,1,1322006385,Alacrity Production Systems Limited
106089723,1122000613,31/05/2022,31/05/2022,"225,456.53",RV,NGN,31/05/2022,28/07/2022,1122000613,NGN,1,6022009698,Cakasa Nigeria Company Limited
1001300012,1122000599,27/05/2022,27/05/2022,"574,252.12",RV,NGN,27/05/2022,27/05/2022,1122000599,NGN,1,1322002860,Micoe Engineering Limited
1001300347,1122000604,30/05/2022,30/05/2022,"51,868.75",RV,NGN,30/05/2022,31/05/2022,1122000604,USD,417.77974,6022005683,THE REDEEMED CHRISTIAN CHURCH OF GO
4000231768,1122000738,23/06/2022,23/06/2022,"97,500.00",RV,NGN,23/06/2022,23/06/2022,1122000738,USD,417.66816,1322003272,Wymo Finance Limited
106092460,1122001049,15/08/2022,15/08/2022,"1,398.91",RV,NGN,15/08/2022,31/08/2022,1122001049,USD,426.17898,6022011195,MARITEC TANKER MANAGEMENT
1001331278,1122000832,06/07/2022,06/07/2022,"2,599,735.87",RV,NGN,06/07/2022,28/07/2022,1122000832,NGN,1,6022009660,OXYLIFE TECHNIMED LIMITED
1001331278,1122000840,07/07/2022,07/07/2022,"2,599,735.87",RV,NGN,07/07/2022,28/07/2022,1122000840,NGN,1,6022009660,OXYLIFE TECHNIMED LIMITED
1001338821,1122001478,25/10/2022,25/10/2022,"29,631,863.27",RV,NGN,25/10/2022,30/11/2022,1122001478,NGN,1,6022015904,ERASKO NIGERIA LIMITED
1001338821,1122001509,28/10/2022,28/10/2022,"165,543.42",RV,NGN,28/10/2022,30/11/2022,1122001509,NGN,1,6022015904,ERASKO NIGERIA LIMITED
1001338821,1123000025,05/01/2023,05/01/2023,"6,714,169.81",RV,NGN,05/01/2023,31/05/2023,1123000025,NGN,1,6023008657,ERASKO NIGERIA LIMITED
1001340546,1122001496,28/10/2022,28/10/2022,"193,074.30",RV,NGN,28/10/2022,12/12/2022,1122001496,NGN,1,6022017010,WEST AFRICA GAS LIMITED
4000246701,1122000980,29/07/2022,29/07/2022,"336,909.56",RV,NGN,29/07/2022,29/07/2022,1122000980,NGN,1,1322004061,AYM SHAFA LIMITED
106095745,1123001467,25/10/2023,23/01/2024,"12,117,074.35",RV,NGN,25/10/2023,27/10/2023,1123001467,NGN,1,6023017352,T Triangle Limited
1001349878,1122001073,19/08/2022,19/08/2022,"193,074.30",RV,NGN,19/08/2022,19/08/2022,1122001073,NGN,1,1322004695,FIRST MAXIMUM POINT INDUSTRIES LIMI
1001349881,1122001112,24/08/2022,24/08/2022,"117,706.05",RV,NGN,24/08/2022,22/09/2022,1122001112,NGN,1,6022012343,Standard Flour Mills Nigeria Plc
106097116,1122001151,31/08/2022,31/08/2022,"134,375.00",RV,NGN,31/08/2022,12/09/2022,1122001151,NGN,1,6022012011,IE IKORODU GAS NIGERIA LIMITED
106097139,1122001193,09/09/2022,09/09/2022,"2,203,867.05",RV,NGN,09/09/2022,04/10/2022,1122001193,NGN,1,6022013270,Enifome Nigeria Limited
1001392511,1122001154,01/09/2022,01/09/2022,"5,486,907.87",RV,NGN,01/09/2022,04/10/2022,1122001154,NGN,1,6022013287,Vikina Integrated Services Limited
4000283799,1122001445,21/10/2022,21/10/2022,"275,072.08",RV,NGN,21/10/2022,29/10/2022,1122001445,NGN,1,6022014157,MARYSON ENERGY LIMITED
1001465971,1122001715,30/11/2022,30/11/2022,"2,487,301.32",RV,NGN,30/11/2022,13/12/2022,1122001715,NGN,1,6022017132,MOTIMOSE METALS
1001466894,1122001292,26/09/2022,26/09/2022,"243,541.25",RV,NGN,26/09/2022,04/10/2022,1122001292,NGN,1,6022013283,Lopin Limited
106099272,1122001321,29/09/2022,29/09/2022,"524,867.14",RV,NGN,29/09/2022,29/09/2022,1122001321,NGN,1,1322005255,Brightwaters Energy Limited
1001475286,1122001456,24/10/2022,24/10/2022,"421,878.38",RV,NGN,24/10/2022,12/12/2022,1122001456,NGN,1,6022017009,MAKON ENGINEERING AND TECHNICAL
106101469,1122001553,10/11/2022,10/11/2022,"698,480.82",RV,NGN,10/11/2022,10/11/2022,1122001553,NGN,1,1322006455,KNOTS AND GEAR ENGINEERING PROCUREM
1001478851,1122001558,11/11/2022,11/11/2022,"317,430.52",RV,NGN,11/11/2022,13/12/2022,1122001558,NGN,1,6022017091,KTV Value Added Oil Service
106102011,1122001566,11/11/2022,11/11/2022,"485,988.09",RV,NGN,11/11/2022,05/12/2022,1122001566,NGN,1,1322006738,Makan Equipment and Material Limite
1001481103,1122001672,24/11/2022,24/11/2022,"2,529,630.39",RV,NGN,24/11/2022,08/12/2022,1122001672,NGN,1,6022016807,Team Offshore Nigeria Limited
1001481103,1123000624,08/05/2023,08/05/2023,"997,213.86",RV,NGN,08/05/2023,07/06/2023,1123000624,NGN,1,6023009765,Team Offshore Nigeria Limited
4000160823,1123000243,14/02/2023,14/02/2023,"18,823,736.56",RV,NGN,14/02/2023,05/05/2023,1123000243,NGN,1,6023007120,LEVANT CONSTRUCTION LIMITED
4000160823,1123001027,10/07/2023,10/07/2023,"459,956.62",RV,NGN,10/07/2023,28/07/2023,1123001027,NGN,1,6023011951,LEVANT CONSTRUCTION LIMITED
4000301564,1123000314,01/03/2023,01/03/2023,"281,934.30",RV,NGN,01/03/2023,22/03/2023,1123000314,NGN,1,6023004548,SIAT NIGERIA LIMITED - PORTHARCOURT
106110328,1123000557,14/04/2023,14/04/2023,"236,521.50",RV,NGN,14/04/2023,31/05/2023,1123000557,NGN,1,6023008660,MEDCOURT SUPPORT SERVICES
